Prijslijst;Categorie;Artikelcode;Omschrijving;Eenheid;Prijs
Aveco 2024 Raamcontract;01 - Standaardlijst;B3;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,0 m - mv, 32 mm;Stuk;100
Aveco 2024 Raamcontract;01 - Standaardlijst;B4;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,0 m - mv, 40 mm;Stuk;111
Aveco 2024 Raamcontract;01 - Standaardlijst;B5;Uitvoeren boring en plaatsen peilbuis, materiaal hdpe tot 3,0 m - mv, 63 mm;Stuk;199
Aveco 2024 Raamcontract;01 - Standaardlijst;B6;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 3,5 m - mv, 32 mm;Stuk;116
Aveco 2024 Raamcontract;01 - Standaardlijst;B7;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 4,0 m - mv, 32 mm;Stuk;164
Aveco 2024 Raamcontract;01 - Standaardlijst;B8;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 4,5 m - mv, 32 mm;Stuk;179
Aveco 2024 Raamcontract;01 - Standaardlijst;B9;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 5,0 m - mv, 32 mm;Stuk;207
Aveco 2024 Raamcontract;01 - Standaardlijst;B10;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 5,5 m - mv, 32 mm;Stuk;229
Aveco 2024 Raamcontract;01 - Standaardlijst;B11;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,0 m - mv, 32 mm;Stuk;252
Aveco 2024 Raamcontract;01 - Standaardlijst;B12;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,0 m - mv, 40 mm;Stuk;303
Aveco 2024 Raamcontract;01 - Standaardlijst;B13;Uitvoeren boring en plaatsen peilbuis, materiaal hdpe tot 6,0 m - mv, 63 mm;Stuk;585
Aveco 2024 Raamcontract;01 - Standaardlijst;B14;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 6,5 m - mv, 32 mm;Stuk;305
Aveco 2024 Raamcontract;01 - Standaardlijst;B15;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 7,0 m - mv, 32 mm;Stuk;410
Aveco 2024 Raamcontract;01 - Standaardlijst;B16;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 7,5 m - mv, 32 mm;Stuk;439
Aveco 2024 Raamcontract;01 - Standaardlijst;B17;Uitvoeren boring en plaatsen peilbuis, materiaal pvc, tot 8,0 m - mv, 32 mm;Stuk;468
Aveco 2024 Raamcontract;01 - Standaardlijst;C1;Klinkerstraatpot 100x205mm;Stuk;30
Aveco 2024 Raamcontract;01 - Standaardlijst;C2;Straatpot 140x140 niet afsluitbaar, geel kunststof deksel;Stuk;30
Aveco 2024 Raamcontract;01 - Standaardlijst;C3;Straatpot 140x140 niet afsluitbaar, geel kunststof deksel met metalen kern tbv metaaldetectie;Stuk;35
Aveco 2024 Raamcontract;01 - Standaardlijst;C4;Straatpot 140x140 afsluitbaar, inbus M10 (8mm), geel kunststof deksel;Stuk;47
Aveco 2024 Raamcontract;01 - Standaardlijst;C5;Straatpot 190x190, zwart PA deksel, inbusbout M10 (anti-diefstal);Stuk;87
Aveco 2024 Raamcontract;01 - Standaardlijst;C6;Betontegel met uitsparing (omranding) voor straatpot 140x140;Stuk;29
Aveco 2024 Raamcontract;01 - Standaardlijst;C7;Kunststof beschermpot ø120mm (t.b.v. afwerking kernboring);Stuk;35
Aveco 2024 Raamcontract;01 - Standaardlijst;C8;RVS afdekkap t.b.v. boorgat ø120mm, plaat ø170x2mm;Stuk;47
Aveco 2024 Raamcontract;01 - Standaardlijst;C9;RVS afdekkap t.b.v. boorgat ø120mm, plaat ø170x4mm (zwaar);Stuk;53
Aveco 2024 Raamcontract;01 - Standaardlijst;C10;PVC beschermbuis ø110mm L=30cm + PE deksel;Stuk;12
Aveco 2024 Raamcontract;01 - Standaardlijst;C11;Kunststof beschermkoker ø125 L=1,5m. Inclusief kunststof kap en lip t.b.v. hangslot;Stuk;152
Aveco 2024 Raamcontract;01 - Standaardlijst;C12;Kunststof beschermkoker ø160 L=1,5m. Inclusief kunststof kap en RVS borgpen;Stuk;281
Aveco 2024 Raamcontract;01 - Standaardlijst;C13;RVS beschermkoker ø70 L=1,20m. Grijs GVK deksel;Stuk;164
Aveco 2024 Raamcontract;01 - Standaardlijst;C14;Stalen beschermkoker ø76 L=1m verzinkt;Stuk;158
Aveco 2024 Raamcontract;01 - Standaardlijst;C15;Stalen beschermkoker ø127 L=1m verzinkt;Stuk;170
Aveco 2024 Raamcontract;01 - Standaardlijst;C16;Stalen beschermkoker ø159 L=1m verzinkt;Stuk;234
Aveco 2024 Raamcontract;01 - Standaardlijst;C17;Stalen beschermkoker ø219 L=1m verzinkt;Stuk;263
Aveco 2024 Raamcontract;01 - Standaardlijst;C18;Aanzagen bestrating t.b.v. straatpot;Stuk;6
Aveco 2024 Raamcontract;01 - Standaardlijst;D1;Asbestinspectiegat tot 0,5 m-mv (max. 1 laag, geen asbest verdacht materiaal);Stuk;29
Aveco 2024 Raamcontract;01 - Standaardlijst;D2;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 1,0 m-mv;Stuk;64
Aveco 2024 Raamcontract;01 - Standaardlijst;D3;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 1,5 m-mv;Stuk;78
Aveco 2024 Raamcontract;01 - Standaardlijst;D4;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 2,0 m-mv;Stuk;83
Aveco 2024 Raamcontract;01 - Standaardlijst;D5;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 2,5 m-mv;Stuk;88
Aveco 2024 Raamcontract;01 - Standaardlijst;D6;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 3,0 m-mv;Stuk;90
Aveco 2024 Raamcontract;01 - Standaardlijst;D7;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 3,5 m-mv;Stuk;100
Aveco 2024 Raamcontract;01 - Standaardlijst;D8;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 4,0 m-mv;Stuk;132
Aveco 2024 Raamcontract;01 - Standaardlijst;D9;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 4,5 m-mv;Stuk;157
Aveco 2024 Raamcontract;01 - Standaardlijst;D10;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 5,0 m-mv;Stuk;183
Aveco 2024 Raamcontract;01 - Standaardlijst;D11;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 5,5 m-mv;Stuk;200
Aveco 2024 Raamcontract;01 - Standaardlijst;D12;Asbestinspectiegat tot 0,5 m-mv, doorgezet tot 6,0 m-mv;Stuk;218
Aveco 2024 Raamcontract;01 - Standaardlijst;D13;Graven sleuven 2,0 x 0,4 x 0,5 (handmatig);Stuk;292
Aveco 2024 Raamcontract;01 - Standaardlijst;D14;Inzet kraan incl. aan- en afvoerkosten;Stuk;1053
Aveco 2024 Raamcontract;01 - Standaardlijst;D15;Aan-, en afvoerkosten kraan;Stuk;205
Aveco 2024 Raamcontract;01 - Standaardlijst;D16;Inhuur decounit;Stuk;409,5
Aveco 2024 Raamcontract;01 - Standaardlijst;D17;Aan-, afvoer- en schoonmaakkosten decounit;Stuk;205
Aveco 2024 Raamcontract;01 - Standaardlijst;E1;Waterbodemmonstername m.b.v. zuigerboor vanaf oever;Stuk;152
Aveco 2024 Raamcontract;01 - Standaardlijst;E2;Waterbodemmonsternamen m.b.v. zuigerboor vanaf boot (vanaf waterkolom 4 m doorsnede en 0,5m onder de vaste waterbodem);Stuk;152
Aveco 2024 Raamcontract;01 - Standaardlijst;E3;Slibmengmonster in veld (traject max. 500 meter, uit max. 10 steken, exclusief monsterneming);Stuk;222
Aveco 2024 Raamcontract;01 - Standaardlijst;E4;Inzet werkvlot/boot;Stuk;88
Aveco 2024 Raamcontract;01 - Standaardlijst;E5;Aan- en afvoer kosten werkvlot/boot;Stuk;59
Aveco 2024 Raamcontract;01 - Standaardlijst;E6;Inmeten dwarsprofiel (max. 5 meter breed), m.b.v. GPS;Stuk;29
Aveco 2024 Raamcontract;01 - Standaardlijst;F1;Beton-/asfaltboringen - basiskosten (opstartkosten / voorrijdkosten);Stuk;94
Aveco 2024 Raamcontract;01 - Standaardlijst;F2;Beton-/asfaltboringen - tarief per cm (diameter 120mm);Stuk;2,9
Aveco 2024 Raamcontract;01 - Standaardlijst;F3;Beton-/asfaltboringen - toeslag inzet aggregaat (elektriciteit) en watervoorziening;Stuk;76
Aveco 2024 Raamcontract;01 - Standaardlijst;F4;Beton-/asfaltboringen - afwerken met cement/koud asfalt;Stuk;6
Aveco 2024 Raamcontract;01 - Standaardlijst;F5;Ramgutsen - basiskosten (mobilisatie);Stuk;70
Aveco 2024 Raamcontract;01 - Standaardlijst;F6;Ramgutsen - tarief per meter;Stuk;35
Aveco 2024 Raamcontract;01 - Standaardlijst;F7;PID-meting;Stuk;20
Aveco 2024 Raamcontract;01 - Standaardlijst;F8;Afvoer boorafval (>25kg);Stuk;9
Aveco 2024 Raamcontract;01 - Standaardlijst;F9;Voorgraven t.b.v. K&L;Stuk;29
Aveco 2024 Raamcontract;01 - Standaardlijst;F10;Milieukundig veldwerker - 1 uur (exclusief reisuren en kilometers);Stuk;76
Aveco 2024 Raamcontract;01 - Standaardlijst;F11;Milieukundig veldwerker - 4 uur (exclusief reisuren en kilometers);Stuk;304
Aveco 2024 Raamcontract;01 - Standaardlijst;F12;Milieukundig veldwerker - 8 uur (exclusief reisuren en kilometers);Stuk;608
Aveco 2024 Raamcontract;01 - Standaardlijst;F13;Ploeg, 2x milieukundig veldwerker - 1 uur (exclusief reisuren en kilometers);Stuk;152
Aveco 2024 Raamcontract;01 - Standaardlijst;F14;Ploeg, 2x milieukundig veldwerker - 4 uur (exclusief reisuren en kilometers);Stuk;608
Aveco 2024 Raamcontract;01 - Standaardlijst;F15;Ploeg, 2x milieukundig veldwerker - 8 uur (exclusief reisuren en kilometers);Stuk;1307,2
Aveco 2024 Raamcontract;01 - Standaardlijst;G1;Inmeten punten (RD-XYZ-coördinaten) met GPS;Stuk;3
Aveco 2024 Raamcontract;01 - Standaardlijst;G2;Bepalen hoogte bovenkant PB en maaiveld t.o.v. NAP met GPS (XYZ-coördinaten);Stuk;4
Aveco 2024 Raamcontract;01 - Standaardlijst;4004;Watermonster incl. lozingspakket;Stuk;75
Aveco 2024 Raamcontract;011 Extra artikelen;222;HCN Meter per dag;Stuk;40
Aveco 2024 Raamcontract;011 Extra artikelen;1234156;Beton\Asfalt boring 350mm inlc afwerking;Stuk;215
Aveco 2024 Raamcontract;011 Extra artikelen;4321;Voorwaarschuwingswagen;Stuk;195
Aveco 2024 Raamcontract;01 - Standaardlijst;2001;Boring tot 0,5 m-mv;Stuk;22
Aveco 2024 Raamcontract;01 - Standaardlijst;2002;Boring tot 1m-mv;stuk;35
Aveco 2024 Raamcontract;01 - Standaardlijst;2003;Boring tot 1.2m-mv;stuk;30
Aveco 2024 Raamcontract;01 - Standaardlijst;2003;Boring tot 1.5m contract;meters;20
Aveco 2024 Raamcontract;01 - Standaardlijst;2004;Boring van 1,5m-mv;stuk;50
Aveco 2024 Raamcontract;01 - Standaardlijst;2005;Boring tot 2m-mv;stuk;54
Aveco 2024 Raamcontract;01 - Standaardlijst;2006;Boring tot 2.5m-mv;stuk;59
Aveco 2024 Raamcontract;01 - Standaardlijst;2007;Boring tot 3m-mv;stuk;61
Aveco 2024 Raamcontract;01 - Standaardlijst;2008;Boring tot 3.5m-mv;stuk;72
Aveco 2024 Raamcontract;01 - Standaardlijst;2009;Boring tot 4m-mv;stuk;103
Aveco 2024 Raamcontract;01 - Standaardlijst;2010;Boring tot 4.5m-mv;stuk;100
Aveco 2024 Raamcontract;01 - Standaardlijst;2011;Boring tot 5m-mv;stuk;154
Aveco 2024 Raamcontract;01 - Standaardlijst;2012;Steekbussen;stuk;20
Aveco 2024 Raamcontract;01 - Standaardlijst;4001;Voorrijkosten watermonstername;stuk;50
Aveco 2024 Raamcontract;01 - Standaardlijst;4002;Watermonstername met zware metalen;stuk;55
Aveco 2024 Raamcontract;01 - Standaardlijst;4003;Watermonstername zonder zware metalen filter;stuk;45
Aveco 2024 Raamcontract;01 - Standaardlijst;5215;Quad Huur;dag;125
Aveco 2024 Raamcontract;02 - Boringen in handkracht;12013;Boring tot 6m-mv;stuk;180
